fieldname,required,data_type,field_length,unique
AwardDescription,True,str,4000,True
AwardModAmendmentNumber,False,str,25,True
PotentialTotalValueAwardAmount,False,flt,20,True
RecipientLegalEntityCountryCode,False,str,3,FalseRecipientLegalEntityCountryName,False,str,100,FalsePlaceOfPerfCongressionalDistrict,False,int,2,FalseRecipientLegalEntityName,False,str,120,FalseRecipientDunsNumber,False,int,9,FalseRecipientLegalEntityAddressStreet1,False,str,150,FalseRecipientLegalEntityAddressStreet2,False,str,150,FalseRecipientLegalEntitylCityName,False,str,40,FalseRecipientLegalEntityStateCode,False,str,2,false
RecipientLegalEntityZip,False,int,5,false
AwardingOfficeName,False,int,4,FalseRecordType,False,int,1,True
AssistanceType,False,int,2,True
PlaceOfPerfCity,False,str,40,True
PlaceOfPerfState,False,str,2,True
PlaceOfPerfZip+4,False,str,9,True
CFDA_Code,False,str,7,True
CFDA_Description,False,str,100,True
BusinessType,False,int,2,True
PeriodOfPerfStartMonth,False,int,2,True
PeriodOfPerfCurrentEndDay,False,int,2,True
PeriodOfPerfCurrentEndYear,False,int,4,True
PeriodOfPerfPotentialEndMonth,False,int,2,True
PeriodOfPerfPotentialEndDay,False,int,4,True
PeriodOfPerfPotentialEndYear,False,int,2,True
piidPrefix,False,str,6,True
piidAwardYear,False,int,2,True
piidAwardType,False,str,1,True
piidAwardNumber,False,int,2,True
FainAwardNumber,False,str,50,True
ParentAwardIDprefix,False,str,6,True
ParentAwardYear,False,int,2,True
ParentAwardType,False,str,1,True
ParentAwardNumber,False,str,8,True
ActionDateDay,True ,int,2,True
ActionDateMonth,True ,int,2,True
ActionDateYear,True ,int,4,True
TypeOfAction,False,str,1,True 
ReasonForModification,False,str,1,True 
TypeOfContractPricing,False,str,1,True 
idvType,False,str,1,True 
ContractAwardType,False,str,1,True 
FederalPrimeAward,False,str,1,True 
NonFederalFundingAmount,False,flt,20,True 
CurrentTotalFundingObligationAmount,False,flt,20,True 
CurrentTotalValueAwardAmount,False,flt,20,True 
FaceValueLoanGuarantee,Flase,flt,,True 
AwardingAgencyName,True ,str,50,True 
AwardingAgencyCode,,,,
AwardingSubTierAgencyName,True ,str,50,True 
AwardingSubTierAgencyCode,True ,str,4,True 
AwardingOfficeCode,True ,str,3,True 
FundingAgencyName,True ,str,50,True 
FundingAgencyCode,True ,str,3,True 
FundingSubTierAgencyName,True ,str,25,True 
FundingOfficeName,True ,str,25,True 
FundingOfficeCode,True ,str,3,True 
RecipientUltimateParentUniqueId,False,int,9,False
RecipientUltimateParentLegalEntityName,False,str,120,False
RecipientLegalEntityZip+4,False,int,4,FalseRecipientLegalEntityPostalCode,False,str,50,FalseRecipientLegalEntityCongresionalDistrict,False,int,2,Flase
HighCompOfficer1FirstName,False,str,35,False
HighCompOfficer1MiddleInitial,False,str,1,False
HighCompOfficer1LastName,False,str,35,False
HighCompOfficer2FirstName,False,str,35,False
HighCompOfficer2MiddleInitial,False,str,1,False
HighCompOfficer2LastName,False,str,35,False
HighCompOfficer3FirstName,False,str,35,False
HighCompOfficer3MiddleInitial,False,str,1,False
HighCompOfficer3LastName,False,str,35,False
HighCompOfficer4FirstName,False,str,35,False
HighCompOfficer4MiddleInitial,False,str,1,False
HighCompOfficer4LastName,False,str,35,False
HighCompOfficer5FirstName,False,str,35,False
HighCompOfficer5MiddleInitial,False,str,1,False
HighCompOfficer5LastName,False,str,35,False
HighCompOfficer1Amount,False,str,38,False
HighCompOfficer2Amount,False,str,38,False
HighCompOfficer3Amount,False,str,38,False
HighCompOfficer4Amount,False,str,38,False
HighCompOfficer5Amount,False,str,38,False
NAICS_Code,False,str,6,False
NAICS_Description,False,str,150,False
PeriodOfPerfStartDay,False,int,2,True 
PeriodOfPerfStartYear,False,int,4,True 
PerioOfPerfCurrentEndMonth,False,int,2,True 
OrderingPeriodEndDay,False,int,2,True 
OrderingPeriodEndMonth,False,int,2,True 
OrderingPeriodEndYear,False,int,4,True 
PlaceOfPerfCounty,False,str,40,True 
PlaceOfPerfCountryName,False,str,100,True 
