fieldname,required,data_type,field_length,unique
ObjectClass,True,flt,50,False
FainAwardNumber,False,str,50,True
AwardModAmendmentNumber,True,str,25,True
AgencyIdentifier,True,int,3,False
MainAccountCode,True,int,4,False
AllocationTransferAgencyIdentifier,True,int,3,False
BeginningPeriodOfAvailability,True,int,3,False
EndingPeriodOfAvailability,True,int,4,False
AvailabilityTypeCode,True,str,1,False
ParentAwardIDprefix,False,str,6,True
ParentAwardYear,False,int,2,True
ParentAwardType,False,str,1,True
ParentAwardNumber,False,str,8,True
TransactionObligatedAmount,True,flt,25,False
