fieldname,required,data_type,field_length,unique
AwardDescription,True,str,4000,True
AmountOfAward,True,int,20,False
AwardModAmendmentNumber,True,str,25,True
PotentialTotalValueAwardAmount,True,float,20,True
LegalEntityCountryCode,True,str,3,False
LegalEntityCountryName,True,str,100,False
PlaceOfPerfCongressionalDistrict,True,int,2,False
AwardeeOrRecipientLegalEntityName,True,str,120,False
RecipientDunsNumber,True,int,9,False
LegalEntityAddressStreet1,True,str,150,False
LegalEntityAddressStreet2,True,str,150,False
LegalEntityCityName,True,str,40,False
LegalEntityStateCode,True,str,2,False
LegalEntityZip,True,int,5,False
AwardingOfficeName,True,str,25,False
RecordType,True,int,1,True
AssistanceType,False,int,2,True
PlaceOfPerfCity,False,str,40,True
PlaceOfPerfState,False,str,2,True
PlaceOfPerfZip+4,True,str,9,True
CFDA_Number,False,str,7,True
CFDA_Description,False,str,100,True
BusinessTypes,True,int,2,True
PeriodOfPerfPotentialEndDate,False,str,10,True
piidPrefix,False,str,6,True
piidAwardYear,False,int,2,True
piidAwardType,False,str,1,True
piidAwardNumber,False,str,8,True
FainAwardNumber,False,str,50,True
ParentAwardIDprefix,False,str,6,True
ParentAwardYear,False,int,2,True
ParentAwardType,False,str,1,True
ParentAwardNumber,False,str,8,True
ActionDate,True,str,10,True
TypeOfAction,False,str,1,True
ReasonForModification,False,str,1,True
TypeOfContractPricing,False,str,1,True
idvType,False,str,1,True
ContractAwardType,False,str,1,True
FederalPrimeAward,True,str,1,True
NonFederalFundingAmount,False,float,20,True
TotalFundingAmount,True,float,20,True
CurrentTotalValueAwardAmount,False,float,20,True
FaceValueLoanGuarantee,False,float,20,True
AwardingAgencyName,True,str,50,True
AwardingAgencyCode,True,int,3,True
AwardingSubTierAgencyName,True,str,25,True
AwardingSubTierAgencyCode,True,str,4,True
AwardingOfficeCode,True,str,3,True
FundingAgencyName,True,str,50,True
FundingAgencyCode,True,str,3,True
FundingSubTierAgencyName,True,str,25,True
FundingSubTierAgencyCode,True,str,4,True
FundingOfficeName,True,str,25,True
FundingOfficeCode,True,str,3,True
UltimateParentUniqueIdentifier,True,int,9,False
UltimateParentLegalEntityName,True,str,120,False
LegalEntityZip+4,True,int,4,False
LegalEntityPostalCode,False,str,50,False
LegalEntityCongresionalDistrict,True,int,2,False
HighCompOfficer1FirstName,True,str,35,False
HighCompOfficer1MiddleInitial,True,str,1,False
HighCompOfficer1LastName,True,str,35,False
HighCompOfficer2FirstName,True,str,35,False
HighCompOfficer2MiddleInitial,True,str,1,False
HighCompOfficer2LastName,True,str,35,False
HighCompOfficer3FirstName,True,str,35,False
HighCompOfficer3MiddleInitial,True,str,1,False
HighCompOfficer3LastName,True,str,35,False
HighCompOfficer4FirstName,True,str,35,False
HighCompOfficer4MiddleInitial,True,str,1,False
HighCompOfficer4LastName,True,str,35,False
HighCompOfficer5FirstName,True,str,35,False
HighCompOfficer5MiddleInitial,True,str,1,False
HighCompOfficer5LastName,True,str,35,False
HighCompOfficer1Amount,True,str,38,False
HighCompOfficer2Amount,True,str,38,False
HighCompOfficer3Amount,True,str,38,False
HighCompOfficer4Amount,True,str,38,False
HighCompOfficer5Amount,True,str,38,False
NAICS_Code,False,str,6,False
NAICS_Description,False,str,150,False
PeriodOfPerfStartDate,False,str,10,True
PeriodOfPerfCurrentEndDate,False,str,10,True
OrderingPeriodEndDate,False,str,10,True
PlaceOfPerfCountyName,True,str,40,True
PlaceOfPerfCountryName,True,str,100,True
PlaceOfPerfCountryCode,True,str,3,False
