fieldname,required,data_type,field_length,unique
AllocationTransferAgencyIdentifier,False,int,3,False
AgencyIdentifier,True,int,3,False
AvailabilityTypeCode,False,str,1,False
BeginningPeriodOfAvailability,False,int,4,False
ObligationAvailabilityPeriodStartDate,False,str,10,False
EndingPeriodOfAvailability,False,int,4,False
ObligationAvailabilityPeriodEndDate,False,str,10,False
MainAccountCode,True,int,4,False
AppropriationSubAccountCode,True,int,3,False
AwardandModificationEntryID,True,int,5,False
AwardIdFieldType,True,str,2,False
ParentAwardIDprefix,True,str,6,False
ParentAwardYear,True,int,2,False
ParentAwardType,True,str,1,False
ParentAwardNumber,True,str,8,False
PlaceholderforPIID2013elements,False,str,50,False
FainAwardNumber,True,str,30,False
AwardModAmendmentNumber,True,int,25,False
ProgramActivityCode,True,int,4,False
ObjectClass,True,float,4,False
ReimbursableFundingSource,True,str,25,False
ProgramActivityName,True,str,164,False
TransactionObligatedAmount_FYB,True,float,100,False
TransactionObligatedAmount_CPB,True,float,100,False
TransactionObligatedAmount_CPE,True,float,100,False
ObligationsUndeliveredOrdersUnpaidTotal_FYB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidTotal_CPB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidTotal_CPE,True,float,100,False
ObligationsUndeliveredOrdersUnpaidCurrentFiscalYearRollingBalance_FYB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidCurrentFiscalYearRollingBalance_CPB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidCurrentFiscalYearRollingBalance_CPE,True,float,100,False
ChangesinObligationsUndeliveredOrdersUnpaidCurrentFiscalYearRollingBalanceIncreases,True,float,100,False
ChangesinObligationsUndeliveredOrdersUnpaidCurrentFiscalYearRollingBalanceDecreases,True,float,100,False
ObligationsUndeliveredOrdersUnpaidNetTransferredBalance_CPB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidNetTransferredBalance_CPE,True,float,100,False
ChangesinObligationsUndeliveredOrdersUnpaidTransferredFromOtherAgenciesIncreases,True,float,100,False
ChangesinObligationsUndeliveredOrdersUnpaidTransferredtoOtherAgenciesDecreases,True,float,100,False
ObligationsUndeliveredOrdersUnpaidPriorFiscalYearRecoveriesBalance_CPB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidPriorFiscalYearRecoveriesBalance_CPE,True,float,100,False
ObligationsUndeliveredOrdersUnpaidPriorFiscalYearUpwardAdjustmentsBalance_CPB,True,float,100,False
ObligationsUndeliveredOrdersUnpaidPriorFiscalYearUpwardAdjustmentsBalance_CPE,True,float,100,False
ObligationsDeliveredOrdersUnpaidTotal_FYB,True,float,100,False
ObligationsDeliveredOrdersUnpaidTotal_CPB,True,float,100,False
ObligationsDeliveredOrdersUnpaidTotal_CPE,True,float,100,False
ObligationsDeliveredOrdersUnpaidCurrentFiscalYearRollingBalance_FYB,True,float,100,False
ObligationsDeliveredOrdersUnpaidCurrentFiscalYearRollingBalance_CPB,True,float,100,False
ObligationsDeliveredOrdersUnpaidCurrentFiscalYearRollingBalance_CPE,True,float,100,False
ChangesinObligationsDeliveredOrdersUnpaidCurrentFiscalYearRollingBalanceIncreases,True,float,100,False
ChangesinObligationsDeliveredOrdersUnpaidCurrentFiscalYearRollingBalanceDecreases,True,float,100,False
ObligationsDeliveredOrdersUnpaidNetTransferredBalance_CPB,True,float,100,False
ObligationsDeliveredOrdersUnpaidNetTransferredBalance_CPE,True,float,100,False
ChangesinObligationsDeliveredOrdersUnpaidTransferredFromOtherAgenciesIncreases,True,float,100,False
ChangesinObligationsDeliveredOrdersUnpaidTransferredtoOtherAgenciesDecreases,True,float,100,False
ObligationsDeliveredOrdersUnpaidPriorFiscalYearRecoveriesBalance_CPB,True,float,100,False
