csv_element,xbrl_element,xbrl_type,xbrl_schema
AllocationTransferAgencyIdentifier,allocationTransferAgencyIdentifier,integerItemType,gen
AgencyIdentifier,agencyIdentifier,integerItemType,gen
BeginningPeriodOfAvailability,beginningPeriodOfAvailability,stringItemType,gen
EndingPeriodOfAvailability,endingPeriodOfAvailability,stringItemType,gen
AvailabilityTypeCode,availabilityTypeCode,availableTypeCodeItemType,gen
MainAccountCode,mainAccountNumber,integerItemType,gen
ParentAwardIDprefix,parentAwardID,stringItemType,award
ParentAwardYear,parentAwardID,stringItemType,award
ParentAwardType,parentAwardID,stringItemType,award
ParentAwardNumber,parentAwardID,stringItemType,award
FainAwardNumber,awardID,stringItemType,gen
AwardModAmendmentNumber,modificationAmendmentNumber,stringItemType,award
ObjectClass,objectClass,stringItemType,ussglfin
TransactionObligatedAmount,,,
