elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Award ID,award,award,awardId,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Description,award,award,awardDesc,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Award Modification/Amendment Number,award,award,awardModAmendment,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Parent Award ID,award,award,awardParentAwardId,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Record Type,award,award,awardRecordType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Action Date,award,award,awardActionDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Type of Action,award,award,awardActionType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Transaction Code,award,award,awardTransactionTypeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Non-Federal Funding Amount,award,financial,awardNonFedFundingAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Funding Obligation Amount on Award,award,financial,awardCurrentTotalFundingObligationAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Value of Award,award,financial,awardCurrentTotalAwardAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Potential Total Value of Award,award,financial,awardPotentialTotalAwardAmt,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Awarding Agency Name,awarding entity,award,awardingAgencyName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awarding Agency Code,awarding entity,award,awardingAgencyCode,,,,,awarding agency code = agency code from TAFS,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awarding Sub Tier  Agency Name,awarding entity,award,awardingSubTierAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Sub Tier  Agency Code,awarding entity,award,awardingSubTierAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Office Name,awarding entity,award,awardingOfficeName,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Office Code,awarding entity,award,awardingOfficeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Funding Agency Name,funding entity,award,fundingAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/fundingagency/
Funding Agency Code,funding entity,award,fundingAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/fundingagency/
